中文,台文,台羅,白話字
他爸爸拿著那三百塊默默走進房間。,𪜶阿爸提著彼三百箍恬恬仔行入去房間。,in a-pah the̍h-tio̍h hit sann-pah khoo tiām-tiām-á kiânn li̍p-khì pâng-king.,in a-pah the̍h-tio̍h hit saⁿ-pah kho͘ tiām-tiām-á kiâⁿ li̍p-khì pâng-keng.
薪水要有競爭力、,薪水愛有競爭力、,"sin-suí ài ū kìng-tsing-li̍k,","sin-súi ài ū kèng-cheng-le̍k,"
自然有人肯做，,自然會有人肯欲做，,"tsǐr-liân ē ū lâng khíng berh tsuè,","chǐr-liân ē ū lâng khéng berh chòe,"
來榕樹國小約一個禮拜了，,來榕樹國小成禮拜矣，,"lâi Tsîng-tshiū kok-sió tsiânn lé-pài--ah,","lâi Chêng-chhiū kok-sió chiâⁿ lé-pài--ah,"
讓他們能夠把在學校學到的、很有限的母語文延續下去！,予𪜶會當共佇學校學著的、真有限的母語文維持莫斷根！,"hōo in ē-tàng kā tī ha̍k-hāu o̍h--tio̍h--ê, tsin iú-hān ê bó-gí-bûn îuî-tshî mài tn̄g-kin!","hō͘ in ē-tàng kā tī ha̍k-hāu o̍h--tio̍h--ê,chin iú-hān ê bó-gí-bûn îuî-chhî mài tn̄g-kin!"
舊城水圳（八千代川）的東面和南段雖然在生活中的身邊，,舊城圳溝（八千代川）的東爿佮南段雖然佇生活中的身軀邊，,"kū-siânn tsùn-kau ( Pat-tshian-tāi-tshuan ) ê tang-pîng kah lâm-tuānn sui-jiân tī sing-ua̍h-tiong ê sin-khu-pinn,","kū-siâⁿ chùn-kau(Pat-chhian-tāi-chhoan)ê tang-pêng kah lâm-tōaⁿ sui-jiân tī seng-oa̍h-tiong ê sin-khu-piⁿ,"
實在很可憐。,實在真可憐。,si̍t-tsāi tsin khó-liân.,si̍t-chāi chin khó-liân.
不但讓我們學做工作，,毋但予阮學做工課，,"m̄-niā hōo gún o̍h tsò-khang-khuè,","m̄-niā hō͘ gún o̍h chò-khang-khòe,"
卻沒人出席，,煞無人出席，,"suah bô lâng tshut-si̍k,","soah bô lâng chhut-se̍k,"
熟悉透徹，,熟似遛遛，,"si̍k-sāi liù-liù,","se̍k-sāi liù-liù,"
剛才站在旁邊顫抖著的阿生,拄頭仔，徛佇邊仔咧慄慄掣的阿生,"Tú-thâu-á, khiā tī pinn--á teh la̍k-la̍k-tshuah ê A-sing","Tú-thâu-á,khiā tī piⁿ--á teh la̍k-la̍k-chhoah ê A-seng"
我才會舉手，,我毋才攑手，,"guá m̄-tsiah gia̍h-tshiú,","góa m̄-chiah gia̍h-chhiú,"
文鐘蹲在那裏整理。,文鐘跍佇遐咧整理。,Bûn-tsing khû tī hia leh tsíng-lí.,Bûn-cheng khû tī hia leh chéng-lí.
他說：「爸爸！,伊講：「阿爸！,i kóng: “a-pâ!,i kóng:“a-pâ!
我們臺灣人因為他們的死亡，,咱臺灣人因為𪜶的死亡，,"lán Tâi-uân-lâng in-uī in ê sí-bông,","lán Tâi-oân-lâng in-ūi in ê sí-bông,"
淑珠看奶奶這樣，,淑珠看阿媽按呢，,"Siok-tsu khuànn a-má án-ne,","Siok-chu khòaⁿ a-má án-ne,"
張松是中國三國時代的人，,張松是中國三國時代的人，,"Tiunn Siông sī Tiong-kok Sam-kok Sî-tāi ê lâng,","Tiuⁿ Siông sī Tiong-kok Sam-kok Sî-tāi ê lâng,"
這些臺灣人黨主席難道不知道，,遮的臺灣人黨主席𪜶敢毋知影，,"tsia-ê Tâi-uân-lâng tóng-tsú-si̍k in kám m̄ tsai-iánn,","chia-ê Tâi-oân-lâng tóng-chú-se̍k in kám m̄ chai-iáⁿ,"
接下來，不用三分鐘，,紲落來，毋免三分鐘，,"suà--lo̍h-lâi, m̄-bián sann hun-tsing,","sòa--lo̍h-lâi,m̄-bián saⁿ hun-cheng,"
有好的作品才能證明這個語言有流傳後世的價值，,有好的作品才會當證明這个語言有價值流傳萬年，,"Ū hó ê tsok-phín tsiah ē-tàng tsìng-bîng tsit ê gí-giân ū kè-ta̍t liû-thuân bān nî,","Ū hó ê chok-phín chiah ē-tàng chèng-bêng chit ê gí-giân ū kè-ta̍t liû-thoân bān nî,"
耳朵裝助聽器。,耳仔鬥助聽器。,hīnn-á tàu tsōo-thiann-khì.,hīⁿ-á tàu chō͘-thiaⁿ-khì.
下課之後，老師把阿生叫到旁邊說：,下課了，老師共阿生叫來邊頭講：,"Hā-khò liáu, lǎu-sir kā A-sing kiò lâi pinn-thâu kóng:","Hā-khò liáu,lǎu-sir kā A-seng kiò lâi piⁿ-thâu kóng:"
街坊鄰居的孩子都沒有人要跟他互相幫忙。,厝邊頭尾的囡仔攏無半个欲參伊相放伴。,tshù-pinn-thâu-bué ê gín-á lóng bô puànn ê beh tsham i sio-pàng-phuānn.,chhù-piⁿ-thâu-bóe ê gín-á lóng bô pòaⁿ ê beh chham i sio-pàng-phōaⁿ.
下課之後，老師把阿生叫到旁邊說話：,下課了，老師共阿生叫來邊仔講：,"Hā-khò liáu, lāu-su kā A-sing kiò lâi pinn--á kóng:","Hā-khò liáu,lāu-su kā A-seng kiò lâi piⁿ--á kóng:"
用來搗花生粉的臼，,舂塗豆麩的舂臼，,"tsing thôo-tāu-hu ê tsing-khū,","cheng thô͘-tāu-hu ê cheng-khū,"
再來這個有作者本身穩重的性格。,閣來這項有作者本人掂斗的性格。,koh-lâi tsit hāng ū tsok-tsiá pún-lâng tìm-táu ê sìng-keh.,koh-lâi chit hāng ū chok-chiá pún-lâng tìm-táu ê sèng-keh.
食飽之後老師趕緊帶他們回去旅館，,食飽了後老師趕緊𤆬𪜶轉去旅社，,"tsia̍h-pá liáu-āu lāu-su kuánn-kín tshuā in tńg-khì lú-siā,","chia̍h-pá liáu-āu lāu-su kóaⁿ-kín chhōa in tńg-khì lú-siā,"
做生意就是要賺錢，,做生理就是欲趁錢，,"tsò-sing-lí tō sī beh thàn-tsînn,","chò-seng-lí tō sī beh thàn-chîⁿ,"
要熟還要一段時間，,欲熟猶有一段時間，,"beh si̍k iáu ū tsi̍t tuānn sî-kan,","beh se̍k iáu ū chi̍t tōaⁿ sî-kan,"
