中文,台文,台羅
Obama大勝美國首位黑人總統。,Obama大勝美國頭一位烏人總統。,Obama tuā-sìng bí-kok thâu-tsi̍t-uī oo-lâng tsóng-thóng。
駐美特派員曹郁芬華府五日報導。,駐美特派員曹郁芬華府報導。,tsù-bí ti̍k-phài-uân tsô-hiok-hun huâ-hú pò-tō。
歐巴瑪Obama大勝美國首位黑人總統，壓倒性勝利創造新歷史。,Obama大勝美國頭一位烏人總統，壓倒性勝利創造新歷史。,Obama tuā-sìng bí-kok thâu-tsi̍t-uī oo-lâng tsóng-thóng，ap-tó-sìng sìng-lī tshòng-tsō sin-li̍k-sú。
民主黨總統候選人歐巴瑪四日以壓倒性勝利，當選美國史上首位黑人總統，他在芝加哥的勝選演說中，對著二十多萬支持者宣告，「改變已經來到美國」。,民主黨總統候選人Obama四日以壓倒性勝利，當選美國歷史上頭一位烏人總統，伊佇Chicago的勝選演說中，對著二十偌萬支持者宣告，改變已經來到美國。,bîn-tsú-tóng tsóng-thóng hāu-suán-jîn Obama sì-ji̍t í ap-tó-sìng sìng-lī，tòng-suán bí-kok li̍k-sú siōng thâu-tsi̍t-uī oo-lâng tsóng-thóng，i tī Chicago ê sìng-suán ián-suat tiong，tuì-tio̍h jī-tsa̍p juā bān tsi-tshî-tsiá suan-kò，kái-piàn í-king lâi-kàu bí-kok。
在已開出的選票中，歐巴瑪不僅以五十二％，（約六千兩百九十六萬票）的普選票，贏過共和黨候選人麥肯的四十六％，（約五千五百七十六萬票），選舉人票更超越麥肯一倍多。,佇已經開出的選票中，Obama毋但以百分之五十二，（大概六千兩百九十六萬票）的普選票，贏過共和黨候選人McCain的百分之四十六，（大概五千五百七十六萬票），選舉人票kinn1超越McCain一倍偌。,tī í-king khui-tshut ê suán-phiò tiong，Obama m̄-nā í pah-hun-tsi gōo-tsa̍p-jī，(tāi-khài la̍k-tshing-nn̄g-pah-káu-tsa̍p-la̍k bān phiò)ê phóo-suán phiò，iânn-kè kiōng-hô-tóng hāu-suán-jîn McCain ê pah-hun-tsi sì-tsa̍p-la̍k，(tāi-khài gōo-tshing-gōo-pah-tshit-tsa̍p-la̍k bān phiò)，suán-kí-jîn phiò kinn tshiau-ua̍t McCain tsi̍t-puē guā。
贏得這場最漫長的總統大選後，四十七歲的歐巴瑪，將在明年元月二十日宣誓就職，成為美國第四十四屆總統。,贏著這場上躼燥的總統大選了後，四十七歲的Obama，將佇明年一月二十日宣誓就職，成為美國第四十四屆總統。,iânn tio̍h tsit tiûnn siāng lò sò ê tsóng-thóng tāi suán liáu-āu，sì-tsa̍p-tshit hè ê Obama，tsiong-tī mê-nî it-ge̍h jī-tsa̍p ji̍t suan-sè-tsiū-tsit，sîng-uî bí-kok tē-sì-tsa̍p-sì kài tsóng-thóng。
美國各大電視網，在美東時間四日深夜十一時宣布，歐巴瑪的選舉人票數，已超越當選所需的二百七十票。,美國所有大電視網，佇美東時間四號深夜十一點宣布，Obama的選舉人票數，已超越當選所需要的兩百七十票。,bí-kok sóo-iú tuā-tiān-sī-bāng，tī bí-tang sî-kan sì-hō tshim-iā tsa̍p-it tiám suan-pòo，Obama ê suán-kí-jîn phiò-sòo，í tshiau-ua̍t tòng-suán sóo-su-iàu ê nn̄g-pah-tshit-tsa̍p phiò。
守在芝加哥競選總部，和全國各地的歐巴瑪支持者，頓時響起一片歡呼聲，奮力揮舞著國旗。,守佇Chicago競選總部，佮全國各地Obama的支持者，彼時陣響起一四界歡呼聲，下命弄著國旗。,siú-tī Chicago kīng-suán tsóng-pōo，kah tsuân-kok kok-tē Obama ê tsi-tshî-tsiá，hit-sî-tsūn hiáng-khí tsi̍t-sì-kuè huan-hoo-siann，hē-miā lāng-tio̍h kok-kî。
許多支持者激動落淚，相互擁抱。,真濟支持者激動到流目屎，互相相攬。,tsin-tsē tsi-tshî-tsiá kik-tōng-kàu lâu-ba̍k-sái，hōo-siong sio-lám。
美國主流報紙五日，紛紛以「歐巴瑪創造歷史」為標題，宣告歐巴瑪成為美國白宮新主人。,美國主流報紙五號，紛紛以「Obama創造歷史」做標題，宣告Obama成為美國白宮sin1主人。,bí-kok tsú-liû pò-tsuá gōo-hō，hun-hun í「Obama tshòng-tsō li̍k-sú」tsò phiau-tê，suan-kò Obama sîng-uî bí-kok pe̍h-kiong sin tsú-lâng。
