台文,台羅,中文,英文
一蕊花,tsi̍t luí hue,一朵花,One flower.
紅嬰仔哭甲一身軀汗。,Âng-enn-á khàu kah tsi̍t sin-khu kuānn.,小嬰兒哭得滿身大汗。,The little baby is crying with sweat all over the body.
一睏仔,tsi̍t-khùn-á,一下子,suddenly or all at once.
一絲仔,tsi̍t-si-á,一點點,a little bit
一流,it-liû,一流,first-class
𪜶兩个生做一模一樣。,In nn̄g ê senn-tsò it-bôo-it-iūnn.,他們兩個長得一模一樣。,They both look exactly the same.
一生,it-sing,一生,lifetime
一向,it-hiòng,一向,Always
𪜶兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。,"In nn̄g hiann-tī-á uī-tio̍h piànn-sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì.",他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。,They severed ties and stopped communicating with each other in order to compete in business.
小等一下。,Sió-tán--tsi̍t-ē.,稍等一會兒。,Wait a moment.
老母一下死，囡仔就大聲吼。,"Lāu-bú tsi̍t-ē sí, gín-á tō tuā-siann háu.",媽媽一死，小孩子就大聲的哭。,"When the mother died, the child cried loudly."
氣一下袂講話。,Khì tsi̍t-ē bē kóng-uē.,氣得說不出話來。,I am so angry that I can't speak.
你一月日趁偌濟錢？,Lí tsi̍t gue̍h-ji̍t thàn guā-tsē tsînn?,你一個月賺多少錢？,How much money do you earn in a month?
你毋好一日到暗拋拋走。,Lí m̄-hó tsi̍t-ji̍t-kàu-àm pha-pha-tsáu.,你不要一天到晚四處亂跑。,Don't run around all day.
我一世人毋捌做過對不起別人的代誌。,Guá tsi̍t-sì-lâng m̄ bat tsò-kuè tuì-put-khí pa̍t-lâng ê tāi-tsì.,我一輩子不曾做過對不起他人的事。,I have never done anything to hurt others in my whole life.
買果子的錢，一人愛出一半。,"Bé kué-tsí ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn.",買水果的錢，一人要出一半。,"The money for buying fruit, each person needs to pay half."
塗跤一半擺仔無拭，袂偌垃圾啦！,"Thôo-kha tsi̍t-puànn-pái-á bô tshit, bē guā lah-sap--lah!",地板一兩次沒擦，不會多髒啦！,"The floor hasn't been cleaned a couple of times, it won't be too dirty!"
有一半个仔人客真𠢕嫌東嫌西。,Ū tsi̍t-puànn-ê-á lâng-kheh tsin gâu hiâm-tang-hiâm-sai.,有一兩個客人很會嫌東嫌西。,There are one or two guests who are very good at finding fault with everything.
頭家人真好，我一半日仔無去，伊嘛袂按怎。,"Thâu-ke lâng tsin hó, guá tsi̍t-puànn-ji̍t-á bô khì, i mā bē án-tsuánn.",老闆人真好，我一兩天沒去，他也不會怎樣。,"The boss is really nice. Even if I don't go for a day or two, he won't do anything."
物件毋通掖甲一四界。,Mi̍h-kiānn m̄-thang iā kah tsi̍t-sì-kè.,東西不要撒得滿地都是。,Don't scatter things all over the ground.
一旦地動，彼間厝就會倒。,"It-tàn tē-tāng, hit king tshù tō ē tó.",一旦地震，那間房子就會倒。,"Once there is an earthquake, that house will collapse."
毀於一旦,huí î it-tàn,毀於一旦,destroyed in an instant.
做教授是我一生的願望。,Tsò kàu-siū sī guá it-sing ê guān-bōng.,當教授是我一生的願望。,"When I was young, becoming a professor was my lifelong wish."
你毋通放蕩過一生。,Lí m̄-thang hòng-tōng kuè it-sing.,你不要放蕩過一生。,Don't lead a dissolute life.
對阮厝到公司，行路一目𥍉仔就到矣。,"Tuì guán tshù kàu kong-si, kiânn-lōo tsi̍t-ba̍k-nih-á tō kàu--ah.",從我家裡到公司，走路只要一眨眼的時間就可以到了。,"From my home to the company, it only takes a blink of an eye to get there by walking."
一目𥍉仔大學四年就過去矣。,Tsi̍t-ba̍k-nih-á tāi-ha̍k sì nî tō kuè--khì--ah.,一轉眼大學四年就過去了。,"In the blink of an eye, four years of college have passed."
一來我無時間，二來我無興趣，所以我無欲參加。,"It--lâi guá bô sî-kan, jī--lâi guá bô hìng-tshù, sóo-í guá bô beh tsham-ka.",一來我沒時間，二來我沒興趣，所以我沒有要參加。,"First, I don't have time. Second, I'm not interested, so I don't want to participate."
你講過的話，一定愛會記得。,"Lí kóng--kuè ê uē, it-tīng ài ē-kì--tit.",你說過的話一定要記得。,Remember what you said.
伊食飯攏無一定的時間。,I tsiah-pn̄g lóng bô it-tīng ê sî-kan.,他吃飯時間不固定。,He does not have a fixed time for eating.
一直向前行，毋免轉斡。,"It-ti̍t hiòng-tsiân kiânn, m̄-bián tńg-uat.",一直向前走過去，不用轉彎。,"Keep going straight ahead, no need to turn."
阿美一直咧掃塗跤，攏無歇睏。,"A-bí it-ti̍t teh sàu thôo-kha, lóng bô hioh-khùn.",阿美一直在掃地，都沒有休息。,Ami has been sweeping the floor without taking a break.
伊對伊的學生一律攏真嚴格。,I tuì i ê ha̍k-sing it-lu̍t lóng tsin giâm-keh.,他對他的學生一律都很嚴格。,He is always very strict with his students.
