台文,台羅,中文
一蕊花,tsi̍t luí hue,一朵花
紅嬰仔哭甲一身軀汗。,Âng-enn-á khàu kah tsi̍t sin-khu kuānn. ,小嬰兒哭得滿身大汗。
一流,it-liû,一流
𪜶兩个生做一模一樣。,In nn̄g ê senn-tsò it-bôo-it-iūnn. ,他們兩個長得一模一樣。
一生,it-sing,一生
一向,it hiòng,一向
𪜶兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。,"In nn̄g hiann-tī-á uī-tio̍h piànn sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì. ",他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。
小等一下。,Sió-tán--tsi̍t-ē. ,稍等一會兒。
老母一下死，囡仔就大聲吼。,"Lāu-bú tsi̍t-ē sí, gín-á tō tuā-siann háu. ",媽媽一死，小孩子就大聲的哭。
氣一下袂講話。,Khì tsi̍t-ē bē kóng-uē. ,氣得說不出話來。
你一月日趁偌濟錢？,Lí tsi̍t gue̍h-ji̍t thàn guā-tsē tsînn? ,你一個月賺多少錢？
你毋好一日到暗拋拋走。,Lí m̄-hó tsi̍t-ji̍t-kàu-àm pha-pha-tsáu. ,你不要一天到晚四處亂跑。
我一世人毋捌做過對不起別人的代誌。,Guá tsi̍t-sì-lâng m̄-bat tsò-kuè tuì-put-khí pa̍t-lâng ê tāi-tsì. ,我一輩子不曾做過對不起他人的事。
買果子的錢，一人愛出一半。,"Bé kué-tsí ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn. ",買水果的錢，一人要出一半。
塗跤一半擺仔無拭，袂偌垃圾啦！,"Thôo-kha tsi̍t-puànn-pái-á bô tshit, bē guā lah-sap--lah! ",地板一兩次沒擦，不會多髒啦！
有一半个仔人客真𠢕嫌東嫌西。,Ū tsi̍t-puànn-ê-á lâng-kheh tsin gâu hiâm-tang-hiâm-sai. ,有一兩個客人很會嫌東嫌西。
頭家人真好，我一半日仔無去，伊嘛袂按怎。,"Thâu-ke lâng tsin hó, guá tsi̍t-puànn-ji̍t-á bô khì, i mā bē án-tsuánn. ",老闆人真好，我一兩天沒去，他也不會怎樣。
物件毋通掖甲一四界。,Mi̍h-kiānn m̄-thang iā kah tsi̍t-sì-kè. ,東西不要撒得滿地都是。
一旦地動，彼間厝就會倒。,"It-tàn tē-tāng, hit king tshù tō ē tó. ",一旦地震，那間房子就會倒。
毀於一旦,huí î it-tàn,毀於一旦
做教授是我一生的願望。,Tsò kàu-siū sī guá it-sing ê guān-bōng. ,當教授是我一生的願望。
你毋通放蕩過一生。,Lí m̄-thang hòng-tōng kuè it-sing. ,你不要放蕩過一生。
對阮厝到公司，行路一目𥍉仔就到矣。,"Tuì guán tshù kàu kong-si, kiânn-lōo tsi̍t-ba̍k-nih-á tō kàu--ah. ",從我家裡到公司，走路只要一眨眼的時間就可以到了。
你講過的話，一定愛會記得。,"Lí kóng--kuè ê uē, it-tīng ài ē-kì--tit. ",你說過的話一定要記得。
伊食飯攏無一定的時間。,I tsiah-pn̄g lóng bô it-tīng ê sî-kan. ,他吃飯時間不固定。
一直向前行，毋免轉斡。,"It-ti̍t hiòng tsîng kiânn, m̄-bián tńg-uat. ",一直向前走過去，不用轉彎。
阿美一直咧掃塗跤，攏無歇睏。,"A-bí it-ti̍t teh sàu thôo-kha, lóng bô hioh-khùn. ",阿美一直在掃地，都沒有休息。
伊對伊的學生一律攏真嚴格。,I tuì i ê ha̍k-sing it-lu̍t lóng tsin giâm-keh. ,他對他的學生一律都很嚴格。
伊佮我的看法並無一致。,I kah guá ê khuànn-huat pīng bô it-tì. ,他跟我的看法並不一致。
伊一面做工，一面讀冊。,"I tsi̍t-bīn tsò-kang, tsi̍t-bīn tha̍k-tsheh. ",他一邊工作，一邊讀書。
一面抹壁雙面光。,Tsi̍t-bīn buah-piah siang-bīn kng. ,用抹刀抹牆壁，不但牆壁光滑，連抹刀也光滑。形容人很會做人，雙方面都能討好。
伊食一屑仔飯爾爾。,I tsia̍h tsi̍t-sut-á pn̄g niā-niā. ,他吃一點點飯而已。
一般人攏真愛面子。,It-puann lâng lóng tsin ài bīn-tsú. ,一般人都很愛面子。
這擺欲替伊開刀的醫生攏是一粒一的。,Tsit pái beh thè i khui-to ê i-sing lóng sī it-lia̍p-it--ê. ,這次為她開刀的醫生都是最好的。
阿英佮我是一粒一的好朋友。,A-ing kah guá sī it-lia̍p-it ê hó-pîng-iú. ,阿英和我是最要好的朋友。
伊跤手真緊，穡頭一睏仔就做了矣。,"I kha-tshiú tsin kín, sit-thâu tsi̍t-khùn-á tō tsò liáu--ah. ",他的動作真快，工作一下子就做完了。
遮的物件伊做一睏仔共伊食了。,Tsia ê mi̍h-kiānn i tsò tsi̍t-khùn-á kā i tsia̍h-liáu. ,這裡的東西他一口氣把它吃完。
眾人的意見伊一概反對。,Tsìng-lâng ê ì-kiàn i it-khài huán-tuì. ,眾人的意見他一概反對。
祝恁一路平安。,Tsiok lín tsi̍t-lōo pîng-an. ,祝福你們一路平安。
加減食一寡。,Ke-kiám tsia̍h--tsi̍t-kuá. ,多少吃一點。
猶有一寡仔物件無整理。,Iáu ū tsi̍t-kuá-á mi̍h-kiānn bô tsíng-lí. ,還有一些東西沒整理。
藥仔食落去，到今一對時矣。,"Io̍h-á tsia̍h--lo̍h, kàu-tann tsi̍t tuì-sî--ah. ",藥吃下，到現在二十四小時了。
伊來一霎仔久就轉去矣。,I lâi tsi̍t-tiap-á-kú tō tńg--khì--ah. ,他來一下子就回去了。
你才食一點仔物件哪會飽？,Lí tsiah tsia̍h tsi̍t-tiám-á mi̍h-kiānn ná ē pá? ,你才吃一點點東西怎麼會飽？
甲乙丙丁,kah it piánn ting,甲乙丙丁
乙等,it tíng,乙等
甲乙丙丁,kah it piánn ting,甲乙丙丁
出丁,tshut-ting,生男孩子
七个人,tshit ê lâng,七個人
七老八老,tshit-lāu-peh-lāu,強調很老
七除八扣,tshit-tû-peh-khàu,計算時一再折扣，自總數中盡量減除。
十喙九尻川。,Tsa̍p tshuì káu kha-tshng. ,形容人多嘴雜。
三教九流,sam-kàu kiú-liû,三教九流
飯食了才食果子。,Pn̄g tsia̍h-liáu tsiah tsia̍h kué-tsí. ,飯吃完再吃水果。
了解,liáu-kái,了解
了力,liáu la̍t,白費力氣
了工,liáu-kang,白費功夫
了錢生理無人做。,Liáu-tsînn sing-lí bô lâng tsò. ,賠錢生意沒人做。
講了真清楚。,Kóng liáu tsin tshing-tshó. ,說得很清楚。
洗了無清氣。,Sé liáu bô tshing-khì. ,洗得不乾淨。
第二,tē-jī,第二
人類,jîn-luī,人類
人情,jîn-tsîng,人情
人事,jîn-sū,人事
聖人,sìng-jîn,聖人
軍人,kun-jîn,軍人
做牛著拖，做人著磨。,"Tsò gû tio̍h thua, tsò-lâng tio̍h buâ. ",做牛得要拖犁耕田，做人得受生活的折磨。
莫共人講！,Mài kā lâng kóng! ,不要跟別人說！
予人看無,hōo lâng khuànn-bô,讓別人瞧不起
好人,hó lâng,好人
讀冊人,tha̍k-tsheh-lâng,讀書人
中人,tiong-lâng,仲介者
人毋管啦！,Lâng m̄-kuán--lah! ,我不管啦！
伊人真好。,I lâng tsin hó. ,他待人很好。
人無爽快,lâng bô sóng-khuài,身體不舒服
入去,ji̍p--khì,進去
入來,ji̍p--lâi,進來
入被,ji̍p phuē,把被子裝進被套裡
收入,siu-ji̍p,收入
入數,ji̍p siàu,入帳
三八婦女節,sam pat hū-lí tseh,三八婦女節
八个人,peh ê lâng,八個人
鉸刀,ka-to,剪刀
伊昨暝去予人刣幾若刀。,I tsa-mê khì hōo lâng thâi kuí-nā to. ,他昨晚被人砍了好幾刀。
伊欲買一刀紙。,I beh bé tsi̍t to tsuá. ,他想買一刀紙。
𪜶頭家真𠢕共人刁。,In thâu-ke tsin gâu kā lâng tiau. ,他們的老闆很會為難人。
刁故意,tiau-kòo-ì,故意
刁工,tiau-kang,故意
無力,bô la̍t,沒有力氣
氣力,khuì-la̍t,力氣
力量,li̍k-liōng,力量
財力,tsâi-li̍k,財力
兵力,ping-li̍k,兵力
十个人,tsa̍p ê lâng,十個人
十喙九尻川,tsa̍p-tshuì káu kha-tshng,人多嘴雜
十五音,si̍p-ngóo-im,十五音
十全十美,si̍p-tsuân-si̍p-bí,十分的完美
卜看覓咧！,Poh khuànn-māi--leh! ,試試看囉！
我來卜一下仔卦咧。,Guá lâi pok tsi̍t-ē-á kuà--leh. ,我來卜一下卦。
食又欲食，穡又毋做，真害！,"Tsia̍h iū beh tsia̍h, sit iū m̄ tsò, tsin hāi! ",吃又要吃，工作又不肯做，真糟糕！
鳥鼠予貓掠了了矣。,Niáu-tshí hōo niau lia̍h-liáu-liáu--ah. ,老鼠被貓抓光光了。
這个袂使，彼个毋通，全你的意見了了。,"Tsit ê bē-sái, hit ê m̄-thang, tsuân lí ê ì-kiàn--liáu-liáu. ",這個不行，那個不可以，你的意見真多。
十二分的感謝,tsa̍p-jī-hun ê kám-siā,十二分的感謝
時機誠䆀，害我十二生相變透透嘛變無撚。,"Sî-ki tsiânn bái, hāi guá tsa̍p-jī senn-siùnn piàn-thàu-thàu mā piàn-bô-lián. ",時機很不好，害我各種行業都做過了也沒輒。比喻一直換工作都沒出路。
二九暝家家戶戶攏咧圍爐。,Jī-káu-mê ke-ke-hōo-hōo lóng leh uî-lôo. ,農曆新年除夕晚上家家戶戶都在圍爐。
查某囡仔十八變。,Tsa-bóo-gín-á tsa̍p-peh-piàn. ,女大十八變。
了工閣蝕本。,Liáu-kang koh si̍h-pún. ,白費工夫又賠錢。比喻賠了夫人又折兵。
割稻仔的人工愈濟就愈緊割了。,Kuah-tiū-á ê lâng-kang jú tsē tō jú kín kuah-liáu. ,越多人割稻就越快完工。
臺灣現此時的人工真貴。,Tâi-uân hiān-tshú-sî ê lâng-kang tsin kuì. ,臺灣現在的工資很貴。
恁囝婿的人才生做袂䆀。,Lín kiánn-sài ê lâng-tsâi senn-tsò bē-bái. ,你女婿外表長得不錯。
入土為安,ji̍p-thóo uî an,入土為安
我刁工來看你。,Guá thiau-kang lâi khuànn--lí. ,我專程來看你。
你愈講，伊愈刁工。,"Lí jú kóng, i jú thiau-kang. ",你越說，他越是故意和你唱反調。
算命的講，人中長的人較長歲壽。,"Sǹg-miā--ê kóng, jîn-tiong tn̂g ê lâng khah tn̂g-huè-siū. ",算命的說，人中長的人壽命比較長。
人有七孔。,Lâng ū tshit-khóng. ,人有七竅。
伊是二手，毋是頭手。,"I sī jī-tshiú, m̄ sī thâu-tshiú. ",他是助手，不是師傅。
物件買二手的較俗。,Mi̍h-kiānn bé jī-tshiú--ê khah sio̍k. ,東西買中古的比較便宜。
八仙綵,pat-sian-tshái,繡有八仙的紅彩，在喜慶時掛在門楣上
你莫共伊刁古董。,Lí mài kā i tiau-kóo-tóng. ,你不要為難他。
伊一禮拜至少愛賣三百个，才袂了本。,"I tsi̍t lé-pài tsì-tsió ài bē sann-pah ê, tsiah bē liáu-pún. ",他一星期至少要賣三百個，才不會虧本。
人生短短仔,jîn-sing té-té--ah,人生苦短
刀石提來磨刀仔。,To-tsio̍h the̍h-lâi buâ to-á. ,磨刀石拿來磨刀子。
媠，媠無十全；䆀，䆀無加圇。,"Suí, suí bô tsa̍p-tsn̂g; bái, bái bô ka-nn̂g. ",人不會是十全十美的。
十全大補湯,si̍p-tsuân tāi póo thng,合人參、白朮、茯苓、甘草、熟地、白芍、當歸、川芎、黃茋、肉桂等十種藥材的補藥。
十全十美,si̍p-tsuân-si̍p-bí,十全十美
算命仙的講𪜶兩人的八字袂合。,Sǹg-miā sian--ê kóng in nn̄g lâng ê peh-jī bē-ha̍h. ,算命先生說他們兩人的八字不合。
七早八早，你就想欲歇睏？,"Tshit-tsá-peh-tsá, lí tō siūnn-beh hioh-khùn? ",時間還早，你就想休息？
你講閣較濟伊嘛聽袂入耳。,Lí kóng koh-khah tsē i mā thiann bē ji̍p-ní. ,你說再多他也聽不進去。
食甲七老八老矣，猶閣毋認老。,"Tsia̍h kah tshit-lāu-peh-lāu--ah, iáu-koh m̄ jīn lāu. ",活到七老八十了，還不認老。
你著較拍拚咧，毋通做了尾仔囝。,"Lí tio̍h khah phah-piànn--leh, m̄-thang tsò liáu-bué-á-kiánn. ",你要更努力一點，不要做敗家子。
講著種花伊閣有二步七仔！,Kóng-tio̍h tsìng-hue i koh ū--jī-pōo-tshit-á! ,說到種花他還有點能耐！
睏飽了後，氣力十足。,"Khùn-pá liáu-āu, khuì-la̍t tsa̍p-tsiok. ",一覺睡醒之後，全身都充滿了活力。
九芎仔柴,kiú-kiong-á-tshâ,九芎樹
人事室,jîn-sū sik,管理機關人員的辦公處所
盡人事順天意。,Tsīn jîn-sū sūn thinn-ì. ,盡人事聽天命。
過年時仔伊會用外國酒來做人事。,Kuè-nî-sî-á i ē īng guā-kok tsiú lâi tsò jîn-sū. ,過年的時候他會用外國酒來做公關。
陳家二房的囝孫仔攏真老實。,Tân--ka jī-pâng ê kiánn-sun-á lóng tsin láu-si̍t. ,陳家二房的子孫都很老實。
大人物,tuā jîn-bu̍t,有地位有名望的人
十花五色的人,tsa̍p-hue-gōo-sik ê lâng,形形色色的人
我今仔入門，電話就來矣。,"Guá tann-á ji̍p-mn̂g, tiān-uē tō lâi--ah. ",我剛進門，電話就來了。
我想欲趕緊共你娶入門。,Guá siūnn-beh kuánn-kín kā lí tshuā ji̍p-mn̂g. ,我想要趕快將你娶進門。
學音樂，我拄入門。,"O̍h im-ga̍k, guá tú ji̍p-mn̂g. ",學音樂，我才剛剛入門。
哲學入門,tiat-ha̍k ji̍p-mn̂g,哲學入門
咱愛好好仔招待人客。,Lán ài hó-hó-á tsiau-thāi lâng-kheh. ,我們要好好招呼客人。
店內人客真濟。,Tiàm-lāi lâng-kheh tsin tsē.,店裡顧客很多。
你出門了後，伊就醒矣。,"Lí tshut-mn̂g liáu-āu, i tō tshénn--ah. ",你出去之後，他就醒了。
七星陣,tshit-tshenn tīn,依照北斗七星排列所設的陣式
大姊昨昏二指去予玻璃幼仔割著。,Tuā-tsí tsa-hng  jī-tsáinn khì hōo po-lê-iù-á kuah-tio̍h. ,大姊昨天食指被碎玻璃割到。
伊是刁持欲佮我做對的。,I sī tiau-tî beh kah guá tsò-tuì--ê. ,他是故意要和我作對的。
我是刁持來看你的。,Guá sī tiau-tî lâi khuànn--lí--ê. ,我是特別來看你的。
伊刁故意欲講予你氣。,I tiau-kòo-ì beh kóng hōo lí khì. ,他故意這麼說要惹你生氣。
伊的人面真闊，拜託伊就無毋著！,"I ê lâng-bīn tsin khuah, pài-thok--i tō bô-m̄-tio̍h! ",他的人脈很廣，拜託他就沒錯！
這个案件是人倫悲劇。,Tsit-ê àn-kiānn sī jîn-lûn pi-kio̍k. ,這個案件是人倫悲劇。
公務人員,kong-bū jîn-uân,公務人員
阮這个單位的人員無夠，工課才會做袂完。,"Guán tsit-ê tan-uī ê jîn-uân bô-kàu, khang-khuè tsiah ē tsò bē uân. ",我們這個單位的人數不足，工作才完成不了。
你當時欲入厝？,Lí tang-sî beh ji̍p-tshù? ,你何時要搬入新家？
一戶人家,tsi̍t hōo jîn-ke,一戶人家
做人愛重人格。,Tsò-lâng ài tiōng jîn-keh. ,為人要注重人格。
伊閣不止仔有人氣。,I koh put-tsí-á ū jîn-khì. ,他的人緣還算不錯。
兩隊人馬佇街仔路相拄。,Nn̄g tuī jîn-má tī ke-á-lōo sio-tú. ,兩隊人馬在街道相遇。
伊昨暗入院。,I tsa-àm ji̍p-īnn. ,他昨晚住院。
做人情予伊。,Tsò-jîn-tsîng hōo--i. ,給他一個人情。
人在人情在。,Jîn tsāi jîn-tsîng tsāi. ,人在人際關係就在。
人情世事有夠濟。,Jîn-tsîng-sè-sū ū-kàu-tsē. ,禮尚往來的事情有夠多。
伊真有人望。,I tsin ū jîn-bōng. ,他很有名氣。
人造雨,jîn-tsō hōo,人造雨
這支刀的刀喙真利。,Tsit ki to ê to-tshuì tsin lāi. ,這把刀的刀口很鋒利。
戲園五點才會使入場。,Hì-hn̂g gōo tiám tsiah ē-sái ji̍p-tiûnn. ,戲院五點才能進場。
這个囡仔欲食毋討趁，有夠了然。,"Tsit ê gín-á beh tsia̍h m̄ thó-thàn, ū kàu liáu-jiân. ",這個孩子只顧白食不肯賺錢，實在枉然。
咱愛靠家己的力量拚出咱家己的前途。,Lán ài khò ka-kī ê li̍k-liōng piànn tshut lán ka-kī ê tsiân-tôo.,我們要靠自己的能力拚出自己的前途。
伊毋是刁意故的。,I m̄ sī thiau-ì-kòo--ê. ,他不是故意的。
伊又閣來矣。,I iū-koh lâi--ah. ,他又來了。
規間厝恬恬無聲，連半个人影嘛無。,"Kui king tshù tiām-tiām bô-siann, liân puànn ê lâng-iánn mā bô. ",整間屋子靜悄悄的，連半個人影都沒有。
用九層塔煎卵真好食。,Iōng káu-tsàn-thah tsian nn̄g tsin hó tsia̍h. ,用九層塔煎蛋很好吃。
伊的人範袂䆀。,I ê lâng-pān bē-bái. ,他的人品不錯。
伊真有人緣。,I tsin ū-lâng-iân. ,他很有人緣。
我今年就欲入學去讀冊矣！,Guá kin-nî tō beh ji̍p-o̍h khì tha̍k-tsheh--ah! ,我今年就要入學去讀書了！
伊彼幅圖有入選無？,I hit pak tôo ū ji̍p-suán--bô? ,他那幅畫有沒有入選？
伊做啥物生理攏了錢。,I tsò siánn-mih sing-lí lóng liáu-tsînn. ,他做什麼生意都賠錢。
這號物件都已經有矣，你閣欲買，加了錢的。,"Tsit-lō mi̍h-kiānn to í-king ū--ah, lí koh beh bé, ke liáu-tsînn--ê. ",這個東西已經有了，你還要買，多花錢而已。
這間店是算人頭收錢的。,Tsit king tiàm sī sǹg lâng-thâu siu tsînn--ê. ,這家商店是按人數收錢的。
警察掠著的是人頭，毋是真正的頭家。,"Kìng-tshat lia̍h-tio̍h--ê sī lâng-thâu, m̄ sī tsin-tsiànn--ê thâu-ke. ",警察捉到的是人頭帳戶，而不是背後的主使者。
力頭真飽,la̍t-thâu tsin pá,力道真大
無佮意你就講，何乜苦共伊刁難？,"Bô kah-ì lí tō kóng, hô-mí-khóo kā i thiau-lân? ",不喜歡你就說嘛，又何必故意為難他？
三生有幸,sam-sing-iú-hīng,三生有幸
三隻狗,sann tsiah káu,三條狗
上車,tsiūnn tshia,上車
上山,tsiūnn-suann,上山
上桌,tsiūnn toh,把食物或其他東西端上桌
上水,tshiūnn-tsuí,從井裡頭用水桶把水打上來
上青苔,tshiūnn tshenn-thî,長青苔
水面上,tsuí-bīn-siōng,水面上
上好,siōng-hó,最好
天跤下,thinn-kha-ē,天底下
拍三下,phah sann ē,打三下
驚一下,kiann tsi̍t-ē,嚇一跳
下班,hā-pan,下班
下課,hā-khò,下課
下令,hā-līng,宣布命令
南下,lâm hā,往南部去
下集,hā tsi̍p,下集
下級,hā-kip,下級
物件無位通下。,Mi̍h-kiānn bô uī thang hē. ,東西沒地方放。
下鹽,hē iâm,在食物中放鹽
乞食下大願。,Khit-tsia̍h hē tuā guān. ,乞丐許大願。比喻人明明沒有能力，卻好高騖遠。
懸低,kuân-kē,高低
低音,kē-im,低音
兩个人,nn̄g ê lâng,兩個人
這个物件,tsit ê mi̍h-kiānn,這個東西
魚丸,hî-uân,魚肉製成的小丸子
彼兩丸烏烏的物件是啥物？,Hit nn̄g uân oo-oo ê mi̍h-kiānn sī siánn-mih? ,那兩球黑黑的東西是什麼？
伊離開真久矣。,I lī-khui tsin kú--ah. ,他離開很久了。
么二三,io jī sann,一二三
乞符仔,khit hû-á,向道士求討符咒
這項物件有也好，無也好，攏無要緊。,"Tsit hāng mi̍h-kiānn ū iā hó, bô iā hó, lóng bô-iàu-kín. ",這個東西可有可無，都沒關係。
亡國,bông-kok,亡國
亡兄,bông-hing,亡兄
新亡,sin-bông,新死者、剛過世的人
傷亡,siong-bông,傷者和死者
流亡,liû-bông,流亡
平凡,pîng-huân,平常、不出色
凡事,huân-sū,無論什麼事情
凡間,huān-kan,凡間
仙女下凡,sian-lú hā-huān,仙女下凡
千辛萬苦,tshian-sin-bān-khóo,千辛萬苦
一千箍,tsi̍t tshing khoo,一千元
開叉,khui tshe,開叉
