標題,內文,連結
【台語世界／錄音】台語詩三篇——胡志益,"我啥物攏愛
 
我啥物攏真愛
食飯真愛配青菜
想beh環遊世界
平時真愛耍牌
生活自由自在
愛peh山愛看海
啥物我攏知
所以生活真精彩
 
生日
 
生日生日真歡喜
多謝阿母共我生(siⁿ)
阿母真正足慈悲
多謝阿爸kā我飼
若是拄著慶生ê日子
全家團圓笑微微
食東食西真趣味
生日真正有意義
 
台語老師
 
老師上gâu變魔術講故事
台語課阮上有興趣
伊ê期待阮bē辜負
老師教阮台語詞
伊ê教學真特殊
向望老師教阮久久久
台語老師是我ê師父
希望我會當做台語老師",https://www.peoplemedia.tw/news/deaadef9-d38a-4066-a277-28beb0fd18d6
【台語世界／錄音】台語詩三篇——胡志益,台灣字（白話字）版,https://www.peoplemedia.tw/news/deaadef9-d38a-4066-a277-28beb0fd18d6
【台語世界／錄音】台語詩三篇——胡志益,Góa Siáⁿ-mi̍h Lóng Ài,https://www.peoplemedia.tw/news/deaadef9-d38a-4066-a277-28beb0fd18d6
【台語世界／錄音】台語詩三篇——胡志益,"Góa siáⁿ-mi̍h lóng chin ài
Chia̍h-pn̄g chin ài phòe chheⁿ-chhài
Siūⁿ beh hoân-iû sè-kài
Pêng-sî chin ài sńg pâi
Seng-oa̍h chū-iû chū-chāi
Ài peh-soaⁿ ài khòaⁿ hái
Siáⁿ-mi̍h góa lóng chai
Só͘-í seng-oa̍h chin chheng-chhái
 
Seⁿ-ji̍t
 
Seⁿ-ji̍t seⁿ-ji̍t chin hoaⁿ-hí
To-siā a-bú kā góa siⁿ
A-bú chin-chiàⁿ chiok chû-pi
To-siā a-pah kā góa chhī
Nā-sī tú-tio̍h khèng-sêng ê ji̍t-chí
Choân-ke thoân-îⁿ chhiò-bi-bi
Chia̍h tang chia̍h sai chiâⁿ chhù-bī
Seⁿ-ji̍t chin-chiàⁿ ū ì-gī
 
Tâi-gí Lāu-su
 
Lāu-su siōng gâu piàn mô͘-su̍t, kóng kò͘-sū
Tâi-gí-khò goán siōng ū hèng-chhù
I ê kî-thāi goán bē ko͘-hū
Lāu-su kà goán Tâi-gí-sû
I ê kàu-ha̍k chin te̍k-sû
Ǹg-bāng lāu-su kà goán kú-kú-kú
Tâi-gí lāu-su sī goán ê su-hū
Hi-bāng góa ē-tàng chò Tâi-gí lāu-su",https://www.peoplemedia.tw/news/deaadef9-d38a-4066-a277-28beb0fd18d6
【台語世界／錄音】台語詩三篇——胡志益,讀hōo你聽：,https://www.peoplemedia.tw/news/deaadef9-d38a-4066-a277-28beb0fd18d6
【台語世界／錄音】真情實意,疫情ê關係，這2冬來大家攏自然儘量減少見面聚集，隨然猶有電話聯絡kap視訊，M̄-koh猶原感覺koh欠幾若味真實，藉著頂半年來預防注射ê普及佮防疫措施齊全，疫情轉和kap餐飲業ê逐步開放，自我管理ê民眾漸漸放鬆心情開始出外活動，本來bih-chhih bih-chhih ê街路kap店頭一个時陣mā開始鬧熱起來。,https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,舊年11月中接著南部教授ê朋友講伊欲轉來北部，Koh已經tī信義區義大利ê餐廳《DA ANTONIO By 隨意鳥地方》訂位，約我做伙食飯開講，難得朋友對南部來sio-chhōe，koh按怎無閒mā應該著chhōe工課縫kap伊見面食飯lim咖啡。將近一冬無做伙，講bē完ê叮叮噹噹，分享隨人生活上ê點點滴滴，互相鼓勵彼此關心，配合著餐廳誠súi ê裝thāⁿ kap氣氛，實在感覺真歡喜mā足燒烙。,https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,用完餐服務生m̄-nā送咖啡飲料，煞koh送來生日雞卵糕，這位好兄弟實在足貼心，猶會記得幾日後就是我的生日，原本想講今仔日是kap四常相約食飯仝款，啥知影伊煞恬恬仔出這招，hō͘我一時陣m̄-chai著講啥，目墘澹澹kan-ta共伊ê手牽leh直直說多謝，心內是充滿歡喜kap感動！,https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,回想這一生，平素佮人鬥陣單純誠懇、熱情實在，敢若感覺拄著ê攏是好人，所接接ê攏無歹人，若論真愛我算看到底tn̄g著幾个對我bái甚至有傷害我ê，勉強欲算5支指頭仔應該áu無3支，其實依我素來就bē kap人相爭計較ê個性，若拄著惡意ê批評甚至攻擊，通常是無beh去辯駁採取沉默冷處理，因為事久見人心，若了解誤會就自然會無去，無必要氣身惱命去chìⁿ甲 ām-kún-kin 腫歪歪，這就是我定定leh講ê，若拄著意見看法無仝ê時，上好就是提出「 善意ê批評、誠懇ê建議」 。,https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,所以我深知凡事低調免搶beh gia̍h-thâu，免chìⁿ 免搶，kap人鬥陣著誠懇熱情、坦白慷慨，mài目頭koân、看koân無看低，m̄-nā會當自然kap各層優勢ê人鬥陣，mā注意著同理周邊較弱勢ê朋友，成做一个溫暖koh受歡迎ê人。,https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
